1111111111111::test1::2000::Aaron Doe::300::1::19.99::32::2015/12/12
1111111111112::test2::2001::Joe Doe::400::1::29.99::4::2015/12/12
1111111111113::test3::2010::John Doe::500::0::19.99::2::2015/12/12
1111111111114::test4::2007::Eric Doe::300::1::39.99::10::2015/12/12
1111111111115::test5::1999::Ron Doe::330::1::9.99::3::2015/12/12
1111111111116::test6::2005::Rebecca Doe::320::1::9.99::3::2015/12/12
1111111111117::test7::1997::Steve Doe::250::1::9.99::3::2015/12/12
1111111111118::test8::1995::James Doe::150::1::19.99::3::2015/12/12
1111111111119::test9::1990::Sara Doe::460::1::9.99::3::2015/12/12
1111111111110::test10::2002::Sarah Doe::550::1::29.99::3::2015/12/23
1111111111121::test11::2007::Antonio Doe::700::0::9.99::3::2015/12/23
1111111111131::test12::2008::Tony Doe::308::1::19.99::2::2015/12/23
1111111111141::test13::2008::Anthony Doe::329::1::9.99::3::2015/12/23
1111111111151::test14::2008::Helen Doe::503::1::9.99::3::2015/12/23
1111111111161::test15::2006::Helen Doe::342::0::29.99::1::2015/12/23
1111111111171::test16::2015::Celia Doe::125::1::39.99::3::2015/12/12
1111111111181::test17::2012::Elissa Doe::435::1::9.99::3::2015/12/12
1111111111191::test18::2013::Roger Doe::234::1::29.99::3::2015/12/12
1111111111101::test19::2013::Steve Doe::879::0::9.99::6::2015/12/12
1111111111211::test20::2001::John Doe::212::1::19.99::3::2015/12/12
1111111111311::test21::2000::Stephen Doe::156::1::9.99::3::2012/12/01
1111111111411::test22::2000::Lisa Doe::124::0::9.99::7::2012/12/01
1111111111511::test23::2010::Rebecca Doe::532::1::29.99::13::2012/12/01
0111111111161::test24::1999::Ron Doe::102::1::9.99::3::2012/12/01
0111111111171::test25::1990::Eric Doe::168::1::5.99::23::2012/12/01
0111111111181::test26::1995::Jane Doe::323::0::9.99::3::2012/12/01
0111111111191::test27::2000::Jessica Doe::345::1::9.99::3::2012/12/01
0111111111101::test28::2000::Joe Doe::253::1::9.99::3::2012/12/01
0111111111211::test29::2000::Aaron Doe::753::1::9.99::3::2012/12/01
0111111111311::test30::2000::Mike Doe::332::1::10.99::43::2012/12/01
0111111111411::test31::2000::Steve Doe::231::0::9.99::3::2012/12/01
0111111111511::test32::2000::John Deer::239::1::9.99::3::2012/12/01
